Risk Id,Location,Guide Word,Parameter,Meaning,Consequence,Risk
656,Objects,"Less (less of, lower)",Shadowing,Less shadowing than expected,More parts of the scene contain visible information that must be processed,Too long computing time for image processing needed
657,Objects,As well as,Shadowing,Several objects cast shadows onto the same object,Combination and thus more complex shadows are possible,See More Shad.
658,Objects,As well as,Shadowing,Several objects cast shadows onto the same object,See More Shad.,
659,Objects,As well as,Shadowing,Both more and less Shadowing than expected,Combination of More and Less,Combination of More and Less in different image regions
660,Objects,Part of,Shadowing,Partial shadow is visible on Object,See Occl.,See Occl.
661,Objects,Reverse,Shadowing,"Shading object and shadowed object exchange roles (not their position, e.g. by changing pos. of l.s.)",See Where else ,See Where else
662,Objects,Reverse,Shadowing,Shadowing of objects is reversed,Parts usually shadowed are not shadowed and vice versa,CV alg. confused - misinterpretation of scene
663,Objects,Reverse,Shadowing,Shadows are reversed,All shadows point in opposite direction than usual,CV alg. confused - misinterpretation of scene
664,Objects,Reverse,Shadowing,Shadows are reversed,,
665,Objects,Where else,Shadowing,Different parts than expected of an object are shadowed ,"See More, Less, As well as",CV alg. Is confused by unexpected shading -> misdetections
666,Objects,Where else,Shadowing,Reflecting obj. is within shadow,"Reflecting object is less recognizable than if illuminated ? reflected objects become more prominent, but distortion effects through reflecting obj. remain",Reflecting objects in shadow remain undetected
667,Objects,Where else,Shadowing,Reflecting obj. is within shadow,,"Reflected objects are interpreted as real, but aliasing effects distort reflected images ? hampered recognition"
668,Objects,Where else,Shadowing,Transp. obj. is shad.,"Transparent object is less recognizable than if illuminated ? objects behind it become more prominent, but aliasing effects through transp. remain",Objects in shadow remain undetected
669,Objects,Where else,Shadowing,Transp. obj. is shad.,,Aliasing effects distort seen through objects ? hampered recognition
670,Objects,Where else,Shadowing,Refl. obj. is outside of scene,Shadows cast into the scene from aside ,Hampered object recognition
671,Objects,Spatial periodic,Shadowing,"Spatial periodic shadows, there is some order/rule as to what parts of an object are shaded",Regular shadows creates a pattern,CV alg. confuses shadow pattern with object
672,Objects,Spatial periodic,Shadowing,"Spatial periodic shadows, there is some order/rule as to what parts of an object are shaded",See Where else,CV alg. confuses shadow pattern with texture
673,Objects,Spatial aperiodic,Shadowing,Spatial aperiodic shadows - Shad. creates a chaotic /unordered pattern,Shadows are chaotic,CV alg. confused by irregular shadows -> misdetections (shadows taken for textures)
674,Objects,Temporal periodic,Shadowing,Shad. follows a time schedule,According Pos.,According Pos.
675,Objects,Temporal periodic,Shadowing,Shad. follows a time schedule,See Observer Exposure and Quantization,See Observer Exposure and Quantization
676,Objects,Temporal aperiodic,Shadowing,Shad. follows no special time schedule,Shad. cannot be filtered by time / exploiting scene phase,CV alg. cannot filter Shad. by exploiting scene phase
677,Objects,Close,Shadowing,Shadow is closer than expected,See More,See More
678,Objects,Close,Shadowing,Object which shades another is closer to it than expected,"Depending on relative size of l.s., shadowed object is either more (e.g.) completely or less in shadow ",See More and Less
679,Objects,Close,Shadowing,Object which shades another is closer to l.s. than expected,See More and Less,See More and Less
680,Objects,Remote,Shadowing,Shadow is more remote than expected,See Less,See Less
681,Objects,Before,Shadowing,Shad. appears earlier than expected,See Temporal aperiodic,See Temporal aperiodic
682,Objects,After,Shadowing,Shad. appears later than expected,See Temporal aperiodic,See Temporal aperiodic
683,Objects,Faster,Shadowing,Shad. (Obj.) moves faster than expected,"Shadows move ""faster than exposure""",Motion blur of shadows - shadows diffused - hampered scene recognition
684,Objects,Slower,Shadowing,Shad. (Obj.) moves slower than expected,"Shadows move ""slower than exposure""",Shadows sharper than expected - hampered scene recognition
685,Objects,Slower,Shadowing,Shad. (Obj.) moves slower than expected,,Shadows move so slowly that they are taken for texture
686,Objects,No (not none),Reflectance,There are no reflections between objects,Hidden objects cannot be seen,Hidden objects remain undetected
687,Objects,"More (more of, higher)",Reflectance,There are more reflections between objects than expected,Creates multiple views within the scene,CV alg. might confuse reflectance with reality and infer wrong position/relation data
688,Objects,"More (more of, higher)",Reflectance,There are more reflections between objects than expected,Can create multiple visible instances of the same object,CV alg. detects more objects than there are in the scene
689,Objects,"Less (less of, lower)",Reflectance,There are less reflections between objects than expected,"""Reflection can be used to see different views in one image"," if the expected reflection is hampered, this reduces the quality/visibility of this different view"""
690,Objects,"Less (less of, lower)",Reflectance,There are less reflections between objects than expected,,"The scene can be not sufficiently illuminated, due to only dark non reflecting objects"
691,Objects,As well as,Reflectance,Both More and Less Refl. Obj. in scene than expected - in different scene areas,Strongly diversified complexity in different scene areas,See More and less/No
692,Objects,Part of,Reflectance,A reflection of an object is partially visible ,See Occl.,See Occl.
693,Objects,Part of,Reflectance,A reflection on an object is partially visible ,A highlight in an object is partially covered by another,Overblending - partial hampering of correct situation recognition
694,Objects,Reverse,Reflectance,Observer sees itself in a reflection instead of expected object,Own body/ observer itself visible as an object,CV alg. confuses observer/its own body with other objects
695,Objects,Reverse,Reflectance,Refl. are reversed,"Object reflections appear reversed to expected, e.g. upside down, or laterally inverted",CV alg. confused
696,Objects,Other than,Reflectance,Reflections are different than expected ,Reflections occur where none should and vice versa,See No/Less/More
